City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,kovdor,67.5662,30.4758,-2.36,82,57,4.3,RU,1680532009
262,kudat,6.8837,116.8477,24.96,94,20,1.03,MY,1680532009
263,mehran,33.1222,46.1646,21.43,37,0,9.07,IR,1680532009
264,sumbe,-11.2061,13.8437,28.84,73,49,4.46,AO,1680532009
265,kulykiv,50.3142,24.8176,1.03,95,100,5.99,UA,1680532009
266,beloha,-25.1667,45.05,26.71,64,69,6.27,MG,1680532009
267,port blair,11.6667,92.75,27.17,67,85,0.45,IN,1680532009
268,la romana,18.4273,-68.9728,28.2,65,40,2.57,DO,1680532009
269,broome,42.2506,-75.833,8.59,39,0,6.26,US,1680532010
270,haines junction,60.7522,-137.5108,-17.03,85,32,1.03,CA,1680532010
271,beringovskiy,63.05,179.3167,-12.32,94,99,5.64,RU,1680532011
272,fortuna,40.5982,-124.1573,2.74,95,90,2.45,US,1680532011
273,bani,18.2833,-70.3333,27.7,55,0,4.44,DO,1680531933
274,kununurra,-15.7667,128.7333,24.99,83,88,2.06,AU,1680532011
275,khorinsk,52.1657,109.7726,-9.22,57,14,4.28,RU,1680532011
276,kiruna,67.8557,20.2251,-1.49,47,0,9.77,SE,1680532011
277,christchurch,-43.5333,172.6333,7.75,90,3,1.54,NZ,1680532011
278,lompoc,34.6391,-120.4579,9.4,73,40,10.28,US,1680532011
279,mto wa mbu,-3.35,35.85,28.51,51,68,1.97,TZ,1680532015
280,deder,9.3167,41.45,15.57,80,99,0.45,ET,1680532015
281,port shepstone,-30.7414,30.455,24.14,79,35,7.66,ZA,1680532015
282,oussouye,12.485,-16.5469,35.1,29,15,5.78,SN,1680532016
283,stephenville,32.2207,-98.2023,22.32,92,0,2.24,US,1680532016
284,dauphin,51.1494,-100.0502,-14.92,72,0,6.17,CA,1680531870
285,longyearbyen,78.2186,15.6401,-10.09,79,100,11.32,SJ,1680532016
286,torbay,47.6666,-52.7314,1.6,70,75,10.8,CA,1680532016
287,majene,-3.5403,118.9707,26.2,83,100,2.5,ID,1680532018
288,bhan,26.5583,67.7214,29.83,30,0,8.87,PK,1680532019
289,monrovia,6.3005,-10.7969,31.87,64,88,4.26,LR,1680532019
290,foki,56.693,54.3499,9.37,68,13,2.14,RU,1680532020
291,sao joao da barra,-21.6403,-41.0511,27.05,58,100,2.41,BR,1680532021
292,nokia,61.4667,23.5,1.41,36,0,4.12,FI,1680532022
293,lebu,-37.6167,-73.65,13.69,68,0,6.6,CL,1680532023
294,chokurdakh,70.6333,147.9167,-13.52,87,100,5.5,RU,1680532025
295,iqaluit,63.7506,-68.5145,-13.15,52,75,1.03,CA,1680532025
296,itaituba,-4.2761,-55.9836,29.09,74,40,1.54,BR,1680532025
297,green river,41.5286,-109.4662,-2.79,34,100,3.13,US,1680531910
298,talnakh,69.4865,88.3972,-24.89,97,79,5.79,RU,1680532025
299,mehamn,71.0357,27.8492,-2.03,69,75,11.83,NO,1680532025
300,caconda,-13.7333,15.0667,20.66,76,96,2.19,AO,1680532026
301,araxa,-19.5933,-46.9406,23.98,60,75,3.6,BR,1680531930
302,fairbanks,64.8378,-147.7164,-15.0,82,100,1.54,US,1680531998
303,whitehorse,60.7161,-135.0538,-7.57,67,75,1.03,CA,1680531928
304,ilulissat,69.2167,-51.1,-11.99,72,0,0.51,GL,1680532026
305,brandenburg,52.4167,12.55,7.19,39,100,5.1,DE,1680532026
306,north aurora,41.8061,-88.3273,11.27,62,100,2.06,US,1680531928
307,san quintin,30.4833,-115.95,12.93,79,70,7.98,MX,1680532027
308,axim,4.8699,-2.2405,30.2,65,78,4.53,GH,1680532027
309,eregli,37.5133,34.0467,19.41,24,60,1.8,TR,1680532027
310,denpasar,-8.65,115.2167,26.81,94,40,1.54,ID,1680531749
311,ajdabiya,30.7554,20.2263,19.79,37,3,7.26,LY,1680532027
312,ugoofaaru,5.6667,73.0,28.27,70,13,3.78,MV,1680532028
313,mandalgovi,45.7625,106.2708,-8.51,57,97,4.79,MN,1680532028
314,hede,33.7681,120.2517,12.99,86,100,10.05,CN,1680532028
315,kamenka,51.3223,42.7678,15.29,37,100,4.03,RU,1680532028
316,rawson,-43.3002,-65.1023,16.17,51,0,1.97,AR,1680532028
317,vazante,-17.9869,-46.9078,25.74,57,100,2.93,BR,1680532028
318,dzhebariki-khaya,62.2167,135.8,-15.48,91,100,2.8,RU,1680532029
319,calama,-22.4667,-68.9333,19.27,55,0,4.12,CL,1680532029
320,cairns,-16.9167,145.7667,25.04,97,100,0.51,AU,1680532029
321,mount isa,-20.7333,139.5,23.87,29,8,4.12,AU,1680532030
322,leh,34.1667,77.5833,-2.14,61,100,0.76,IN,1680532030
323,namatanai,-3.6667,152.4333,26.75,81,80,2.74,PG,1680532030
324,presidencia roque saenz pena,-26.7852,-60.4388,30.0,32,26,3.81,AR,1680532031
325,dharchula,29.85,80.5333,14.99,86,100,1.55,IN,1680532031
326,sisimiut,66.9395,-53.6735,-8.94,67,0,4.22,GL,1680532031
327,ellwangen,48.9616,10.1317,7.91,47,100,4.22,DE,1680532031
328,yulara,-25.2406,130.9889,25.86,41,56,5.03,AU,1680532031
329,hofn,64.2539,-15.2082,7.01,93,100,6.69,IS,1680532031
330,arman,59.7,150.1667,-17.77,86,4,3.68,RU,1680532031
331,san antonio,29.4241,-98.4936,23.91,88,100,2.06,US,1680531925
332,sioux lookout,50.1001,-91.917,-10.96,73,75,3.09,CA,1680532031
333,lata,40.1629,-8.3327,20.51,32,100,3.98,PT,1680532032
334,yarmouth,41.7057,-70.2286,7.79,51,0,4.12,US,1680532032
335,nachingwea,-10.3833,38.7667,25.53,89,67,1.86,TZ,1680532032
336,kostino,58.9097,53.2691,5.76,97,92,1.76,RU,1680532032
337,tuzha,57.6062,47.936,7.3,85,100,3.44,RU,1680532033
338,kayerkan,69.3497,87.7602,-25.27,75,97,4.46,RU,1680532035
339,osoyoos,49.0331,-119.4524,-1.77,86,14,0.51,CA,1680532035
340,bathsheba,13.2167,-59.5167,29.34,61,40,10.8,BB,1680532035
341,hunterville,-39.9333,175.5667,8.64,95,38,1.61,NZ,1680532035
342,patiya,22.2931,91.9762,24.74,80,70,1.79,BD,1680532035
343,olden,61.8364,6.8064,8.41,81,100,1.71,NO,1680532035
344,baiyin,36.5583,104.2081,3.04,84,94,3.5,CN,1680532036
345,xichang,27.8964,102.2634,16.86,34,54,1.94,CN,1680532036
346,sayat,38.7839,63.8803,16.93,41,22,5.44,TM,1680532036
347,alyangula,-13.8483,136.4192,27.84,72,62,3.39,AU,1680532036
348,camopi,3.1655,-52.3158,28.42,61,34,2.07,GF,1680532036
349,pevek,69.7008,170.3133,-33.16,100,77,3.06,RU,1680532036
350,priyutovo,53.9,53.9333,7.24,71,28,4.35,RU,1680532037
351,egvekinot,66.3167,-179.1667,-23.86,91,94,4.56,RU,1680532037
352,conde,-7.2597,-34.9075,30.7,62,40,4.12,BR,1680532037
353,tanout,14.9709,8.8879,34.86,4,100,2.7,NE,1680532037
354,soyo,-6.1349,12.3689,29.79,71,59,5.48,AO,1680532037
355,soure,-0.7167,-48.5233,27.27,72,83,2.86,BR,1680532037
356,bambanglipuro,-7.95,110.2833,24.75,90,100,1.95,ID,1680532038
357,geraldton,-28.7667,114.6,22.23,78,75,8.23,AU,1680532038
358,cabedelo,-6.9811,-34.8339,31.37,67,28,4.27,BR,1680532038
359,mareeba,-17.0,145.4333,22.47,94,99,0.85,AU,1680532038
360,piacabucu,-10.4056,-36.4344,29.49,61,97,3.64,BR,1680532038
361,muzhi,65.3667,64.6667,-13.94,89,7,2.29,RU,1680532038
362,osorno,-40.5667,-73.15,14.03,76,0,0.36,CL,1680531933
363,abu kamal,34.4506,40.9171,24.05,30,0,2.22,SY,1680532038
364,itarema,-2.9248,-39.9167,28.85,68,72,0.45,BR,1680532039
365,wanning,18.8003,110.3967,24.73,93,5,4.14,CN,1680532039
